rs                       \eta                     K                        f_r                      f_p                      AUC                      AUPR                                                                                                                                               
8.000000000000000444e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.495813608651072490e-01 5.688388659331330421e-01
8.000000000000000444e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.531103786071208894e-01 5.936696846136684247e-01
8.000000000000000444e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.561189056919279228e-01 5.928143249283115424e-01
5.999999999999999778e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.535615941457841194e-01 5.718457958356277793e-01
5.999999999999999778e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.550987831012122120e-01 5.798861677241468060e-01
5.999999999999999778e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.544334568462107260e-01 5.736260461276565525e-01
5.999999999999999778e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.526980579899329005e-01 5.740445227651899129e-01
5.999999999999999778e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.552308524930183120e-01 5.852942938708689535e-01
5.999999999999999778e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.553275992962991792e-01 5.841996034613480271e-01
5.999999999999999778e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.512336385501715119e-01 5.749445179968434294e-01
5.999999999999999778e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 5.000000000000000000e+02 9.544339154175165429e-01 5.913950592690313535e-01
5.999999999999999778e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 5.000000000000000000e+02 9.558393185046556439e-01 5.928328539484722937e-01
